"","PARSE_neuro","Multiome_neuro","multi_to_parse_ratio"
"RPL13A",0.130769284795367,3.59061344216584,27.4576208609276
"ALCAM",0.0675206967858701,1.79043257762773,26.51679652101
"DYNLL1",0.0675206967858701,1.75510276345558,25.9935523032526
"RPL13",0.130769284795367,3.32992466469014,25.4641192685342
"FTL",0.0675206967858701,1.59979855835966,23.6934545185921
"BST2",0.0675206967858701,1.59979855835966,23.6934545185921
"BTG1",0.0675206967858701,1.59979855835966,23.6934545185921
"ATP5F1E",0.0675206967858701,1.57857323362257,23.3791016498057
"NDUFC2",0.0675206967858701,1.57857323362257,23.3791016498057
"SRP14",0.0675206967858701,1.53472126972336,22.7296420620548
"RHOB",0.0675206967858701,1.53472126972336,22.7296420620548
"ISG15",0.0675206967858701,1.51205242642702,22.3939102883109
"RNASEK",0.0675206967858701,1.46511230830911,21.6987142913447
"RPS14",0.130769284795367,2.78403135615711,21.2896427514586
"RPL37A",0.130769284795367,2.78403135615711,21.2896427514586
"PEBP1",0.0675206967858701,1.39029299119069,20.590619726567
"TMEM205",0.0675206967858701,1.36405530272001,20.2020323789884
"PFDN5",0.0675206967858701,1.36405530272001,20.2020323789884
"NDUFS5",0.0675206967858701,1.36405530272001,20.2020323789884
"CD24",0.0675206967858701,1.36405530272001,20.2020323789884
"CST3",0.0675206967858701,1.3371106060408,19.8029740463314
"ATP6V1G1",0.0675206967858701,1.3371106060408,19.8029740463314
"HLA-DRA",0.0675206967858701,1.3371106060408,19.8029740463314
"SOD1",0.0675206967858701,1.3094197410099,19.3928647561575
"RPL34",0.130769284795367,2.3773294225169,18.1795704261674
"RPS25",0.130769284795367,2.36763146462394,18.1054096023307
"RPS16",0.130769284795367,2.33796018744885,17.8785116941443
"RPL24",0.130769284795367,2.33796018744885,17.8785116941443
"RPSA",0.130769284795367,2.32787084218235,17.8013579092759
"RPS13",0.130769284795367,2.23217048452977,17.0695319472211
"RPL10A",0.130769284795367,2.2096000604237,16.896934657717
"RPL37",0.130769284795367,1.99389125509911,15.2473974161382
"RPL29",0.130769284795367,1.99389125509911,15.2473974161382
"S100A1",0.130769284795367,1.97962879096599,15.1383315590033
"RPL39",0.130769284795367,1.92045332066103,14.6858134436251
"RPL19",0.190254346869295,2.70378261709746,14.21141047019
"RPS29",0.130769284795367,1.85755463652044,14.204823704796
"RPL36A",0.130769284795367,1.85755463652044,14.204823704796
"S100A13",0.130769284795367,1.79043257762773,13.6915375841466
"RPS20",0.190254346869295,2.57779777568646,13.5492188121063
"RPL41",0.246398727384597,3.3224512156432,13.4840437323253
"RPS27A",0.190254346869295,2.56187581195027,13.4655310330979
"RPL27A",0.190254346869295,2.54569623199851,13.3804891919101
"RPLP1",0.246398727384597,3.23223476194314,13.1179036363205
"PPIA",0.130769284795367,1.6804625603625,12.8505907407244
"RPL11",0.190254346869295,2.39644766733874,12.5960205733701
"RPL30",0.190254346869295,2.39644766733874,12.5960205733701
"RPL26",0.190254346869295,2.39644766733874,12.5960205733701
"ELOB",0.130769284795367,1.64094367410438,12.5483876177208
"CDKN1C",0.190254346869295,2.29697726929099,12.0731920562583
"RPL12",0.190254346869295,2.28646361679354,12.0179310192809
