"","PARSE_ionocyte II","Multiome_ionocyte II","multi_to_parse_ratio"
"H3F3A",0,2.52525250048402,Inf
"MTRNR2L12",0,2.06641072964654,Inf
"FAM160A1",0,1.47242598276259,Inf
"AC083837.1",0,1.75344325279041,Inf
"FAM189A2",0,2.9370424708682,Inf
"AC084816.1",0,3.05205564488924,Inf
"AC013652.1",0,2.06641072964654,Inf
"LINC01578",0,1.86899477993491,Inf
"H3F3B",0,2.60675834643022,Inf
"EEF1A1",0.292331530134579,3.17755784227687,10.8697061887715
"RPL13",0.292331530134579,2.99177314594515,10.2341787920305
"RPS11",0.292331530134579,2.65762424590003,9.09113103426289
"HLA-C",0.292331530134579,2.55316579426179,8.73380231371689
"RPL3",0.292331530134579,2.49653762645311,8.54009016852817
"JUNB",0.292331530134579,2.49653762645311,8.54009016852817
"MT-ND3",0.518254414932672,4.30448963771216,8.30574620048605
"IGFBP5",0.292331530134579,2.42092165460318,8.28142504330162
"RPL11",0.292331530134579,2.4050872897801,8.22725926509837
"RPS9",0.292331530134579,2.4050872897801,8.22725926509837
"MT-CYB",0.518254414932672,4.15813320235052,8.02334352113664
"RPS3A",0.292331530134579,2.30442421702256,7.88291367667963
"EGR1",0.292331530134579,2.21203113934286,7.56685786964039
"PRSS16",0.292331530134579,2.19248212376478,7.49998511195642
"MT-ND4L",0.292331530134579,2.19248212376478,7.49998511195642
"TBATA",0.292331530134579,2.15219884068137,7.36218511800823
"RPS6",0.292331530134579,2.13143186192539,7.29114598395922
"RPS28",0.292331530134579,2.11022445319899,7.21860023866572
"RPL8",0.292331530134579,2.08855752752881,7.14448258991191
"ROBO2",0.292331530134579,2.06641072964654,7.06872340693196
"MT-CO3",0.702424578474692,4.93650251081047,7.02780435378563
"RPL30",0.292331530134579,2.04376232107081,6.9912483273013
"RPL27A",0.292331530134579,2.04376232107081,6.9912483273013
"RPL10A",0.292331530134579,2.04376232107081,6.9912483273013
"MT-ATP6",0.702424578474692,4.88705544121489,6.95740950840173
"RPS7",0.292331530134579,1.97256649650113,6.74770352549051
"RPS25",0.292331530134579,1.94766177240451,6.66251010114397
"HSPA1A",0.292331530134579,1.92212092687885,6.5751406493647
"RPSA",0.292331530134579,1.89591061036191,6.48548108884834
"CD63",0.292331530134579,1.86899477993491,6.39340812492751
"RPS3",0.292331530134579,1.86899477993491,6.39340812492751
"SLC25A6",0.292331530134579,1.75344325279041,5.99813250381576
"FAU",0.292331530134579,1.72234148017201,5.89174037907954
"KRT18",0.292331530134579,1.69024125044222,5.78193275855019
