"","PARSE_sTEC I","Multiome_sTEC I","multi_to_parse_ratio"
"RPL15",0.300126631117829,2.64291888658853,8.80601257124337
"RPL24",0.300126631117829,2.61849720118364,8.72464130034374
"RPL7A",0.342431618902708,2.89718170482737,8.46061387120479
"MARCKS",0.209736613300837,1.76331487747772,8.40728211315445
"RPS25",0.300126631117829,2.44331586171012,8.14094988042191
"RPS27A",0.362931365119017,2.87351722622947,7.91752243647265
"RPL22",0.233111556780863,1.79197136506086,7.68718372356546
"GPX4",0.185802177656385,1.41982357369987,7.64158736785979
"RPL27A",0.383019299643926,2.90184813419703,7.57624520982292
"CTSV",0.255952569132953,1.93639530625983,7.56544586686288
"NACA",0.255952569132953,1.93639530625983,7.56544586686288
"RPL6",0.342431618902708,2.49357877942174,7.28197585086386
"RPS24",0.402711642631884,2.92029909744239,7.25158845261351
"RPL23A",0.321502822328543,2.31795338177187,7.20974504977489
"ID3",0.185802177656385,1.33429591103331,7.18127165065259
"IFI6",0.185802177656385,1.33429591103331,7.18127165065259
"RPL11",0.422023674413758,3.02025326929613,7.15659677976982
"RPL34",0.383019299643926,2.71279718818686,7.08266447854928
"RPS3",0.362931365119017,2.5279944487488,6.96548904754976
"RPS9",0.422023674413758,2.92939846549441,6.94131311368657
"C12orf57",0.209736613300837,1.44010947939249,6.86627602461978
"BST2",0.233111556780863,1.58909160935743,6.81687185012133
"DPT",0.300126631117829,2.02970630531802,6.76283306735669
"ACTB",0.342431618902708,2.29259212327305,6.69503631300012
"RPL3",0.402711642631884,2.64893224229169,6.57773940922056
"GADD45B",0.383019299643926,2.45793632580072,6.41726494744714
"RPL13A",0.580855445620524,3.71175101359126,6.3901458470894
"TUBA1B",0.209736613300837,1.31172006002625,6.25413007000725
"PCOLCE",0.278283498764928,1.73381290749476,6.23038345855839
"SLC25A6",0.255952569132953,1.58909160935743,6.2085393975162
"PTN",0.383019299643926,2.27532008928012,5.94048417767818
"FTH1",0.530663253424833,3.12982456250446,5.89794854327104
"RPL14",0.440969806729876,2.59978139508722,5.89559955219285
"RPL9",0.477818058732812,2.81432747873982,5.88995628629755
"RPL17",0.440969806729876,2.56778828916984,5.82304785947122
"MT-CO2",0.745942432539925,4.32202360112248,5.79404443638639
