"","PARSE_neuroendocrine II","Multiome_neuroendocrine II","multi_to_parse_ratio"
"NACA",0.177723442554949,1.90042617533603,10.6931654486068
"RPSA",0.21326776542776,2.26887968568124,10.6386433089429
"RPL9",0.230577111508482,2.44012836045579,10.5826998373428
"RPS8",0.29696542063761,3.03375800133298,10.2158628261137
"RPS7",0.21326776542776,2.15001562660925,10.0812967318192
"SERF2",0.159465998239488,1.60404164593273,10.0588317487202
"RPLP2",0.29696542063761,2.87384952086566,9.6773877399438
"SRP14",0.195653520539695,1.88683430050338,9.64375338250342
"SOD1",0.140869010855404,1.35828600650037,9.64219169462756
"RPL6",0.280776948216641,2.68341093787959,9.55709133147617
"RPLP0",0.264322090878258,2.4634621950476,9.31992550021944
"RPL23A",0.21326776542776,1.97831228314442,9.2761898600871
"PEBP1",0.21326776542776,1.96574527787556,9.21726391202524
"EID1",0.159465998239488,1.4470862849527,9.07457577746106
"RPS15A",0.312895995838892,2.82686176505281,9.03450923836157
"BST2",0.177723442554949,1.58571755719417,8.92238825895967
"CD63",0.177723442554949,1.58571755719417,8.92238825895967
"OAZ1",0.159465998239488,1.35828600650037,8.51771550986364
"KDELR1",0.159465998239488,1.35828600650037,8.51771550986364
"RPL35A",0.264322090878258,2.2210577706494,8.40284579797903
"COX4I1",0.177723442554949,1.46810672281955,8.2606250571904
"RPL11",0.328576762212056,2.63926047842246,8.03240150232883
"RACK1",0.312895995838892,2.48626395358684,7.94597561698104
"GABARAP",0.21326776542776,1.69094029047303,7.92871950002122
"PFDN5",0.230577111508482,1.80115877375656,7.81152457836345
"SLC25A6",0.247591934894364,1.87305513809703,7.56508946422741
"YWHAB",0.177723442554949,1.33479668827977,7.51052685616912
"HSPA1A",0.280776948216641,2.05056803213493,7.3031922497881
"JUNB",0.280776948216641,2.00298220319487,7.13371313391945
"RPS6",0.374195607612564,2.59307035730491,6.92971885439587
"TPT1",0.403491559642235,2.75483820031415,6.82749895129599
"IER2",0.247591934894364,1.67415419103478,6.7617476786918
"HES6",0.431953630275885,2.90892773860427,6.734351871858
"TUBB3",0.195653520539695,1.31074232280951,6.69930354022731
"MT-ATP6",0.645868449857492,4.30961577025866,6.67259063546076
"CDKN1C",0.280776948216641,1.87305513809703,6.67097192270866
"BTF3",0.264322090878258,1.75540130067905,6.64114488065078
"MT-CO2",0.66827240147454,4.43276757892803,6.63317468916441
"TMSB10",0.45962797991218,3.00286062819988,6.53324157675002
"MT-ND1",0.512779899699851,3.34498505072758,6.52323746052746
"EEF1A1",0.587559007888039,3.82203872346611,6.50494447732884
"NDUFA13",0.21326776542776,1.3812362157349,6.47653532152176
"EDF1",0.247591934894364,1.58571755719417,6.40456062460483
"PNRC1",0.230577111508482,1.46810672281955,6.36709651367778
"ARL4C",0.230577111508482,1.46810672281955,6.36709651367778
"NDUFB8",0.230577111508482,1.4470862849527,6.2759320536439
"ARC",0.21326776542776,1.33479668827977,6.25878311053015
"GAPDH",0.247591934894364,1.5480302173795,6.25234508563444
"RPL5",0.417823852724397,2.60648666927966,6.23824286785978
"BEX3",0.29696542063761,1.84491379362793,6.21255427539928
"RPL4",0.344015433503573,2.09599193750378,6.0927264691513
"MT-ND4L",0.264322090878258,1.60404164593273,6.06851149142702
"PPIA",0.328576762212056,1.99072331685997,6.05862478970806
