"","PARSE_muscle","Multiome_muscle","multi_to_parse_ratio"
"EEF1D",0.53443127879062,1.39047135612333,2.60177764907374
"PRDX6",0.60115452613977,1.56254097233074,2.59923348222026
"TMEM38B",0.561657104967302,1.45117770564886,2.58374316431614
"NPM1",0.588161289431745,1.51947216667856,2.58342769913777
"SET",0.561657104967302,1.41519785662319,2.51968299538484
"EEF2",0.841031662326191,2.06537173385091,2.45575978452266
"DYNC1I1",0.53443127879062,1.31239715199679,2.4556892608656
"STK39",0.663702891757154,1.62385408750494,2.44665814730111
"TMEM123",0.561657104967302,1.352196008286,2.40751162288728
"BST2",0.613981101799487,1.47446462689954,2.40148210193784
"ADCY2",0.745177177248873,1.77105795145022,2.37669376562069
"MNAT1",0.626645237762272,1.47446462689954,2.35294954472933
"L3MBTL4",0.937758796606096,2.20217317892534,2.34833646657901
"ARHGAP24",0.861140077122035,1.99951038442367,2.32193395423671
"COBL",0.841031662326191,1.9435082378787,2.31086215292203
"YBX1",0.675756429394892,1.5519464183711,2.29660621913844
"JPH1",0.651502291927933,1.45117770564886,2.22743300158549
"UBE2E3",0.60115452613977,1.3258402021734,2.2054898441622
"ACTB",0.965042095100383,2.11510570516422,2.19172377650967
"CACNA2D1",1.49553872045879,3.26920238936464,2.18596974096515
"ANK3",0.928496400836748,2.02637765207807,2.18242919439636
"NES",0.830823763079131,1.79639949962444,2.16219080321772
"TPT1",1.53689593407716,3.32136652187202,2.16108745441269
"TBCA",0.73393658238908,1.57302445741398,2.14327027042791
"HMGB1",0.699436206796871,1.47446462689954,2.10807592253764
"PPM1L",0.799559558733786,1.68162409774888,2.103188035688
"CERS6",0.73393658238908,1.54123841683891,2.09996129614078
"FMN1",0.767286270879353,1.60383119390373,2.09026442251554
"MEG3",1.55197430917747,3.18754698199214,2.05386581668449
"TMSB4X",1.02594943721562,2.10290217215728,2.04971326643978
"PSD3",1.18914656949113,2.41201044174949,2.02835420261244
"PALLD",1.38398032706253,2.79023404942038,2.01609372247552
