"","x"
"727","LELP1"
"728","LOR"
"729","S100A7L2"
"730","BX470102.1"
"731","BX470102.2"
"732","AL162258.2"
"733","AL513523.4"
"734","AL513523.3"
"735","AL358472.5"
"736","AL358472.4"
"737","AL358472.3"
"738","AL358472.2"
"739","C1orf189"
"740","AL162591.2"
"741","AL592078.2"
"742","AL592078.1"
"743","AL606500.1"
"744","AL451085.1"
"745","AL451085.2"
"746","AC234582.1"
"747","AC234582.2"
"748","GBA"
"749","FAM189B"
"750","ASH1L-IT1"
"751","AL353807.2"
"752","AL353807.5"
"753","AL162734.1"
"754","AL355388.2"
"755","AL355388.1"
"756","AL355388.3"
"757","AL139130.1"
"758","C1orf61"
"759","AL365181.1"
"760","AL365181.4"
"761","AL365181.2"
"762","AL365181.3"
"763","AL590666.2"
"764","AL590666.3"
"765","AL590666.4"
"766","AL590666.1"
"767","RRNAD1"
"768","AL590666.5"
"769","AL138900.1"
"770","AL356276.1"
"771","KIRREL1-IT1"
"772","AL138899.3"
"773","AL138899.1"
"774","OR10T2"
"775","OR10K2"
"776","AL365440.2"
"777","OR6P1"
"778","OR10X1"
"779","OR6K2"
"780","OR6K3"
"781","OR6K6"
"782","AL513323.1"
"783","OR10J5"
"784","APCS"
"785","AL590560.2"
"786","SNHG28"
"787","AL590560.3"
"788","AL590560.5"
"789","AL121987.1"
"790","AL121987.2"
"791","AL139011.1"
"792","AL138930.1"
"793","AL121985.1"
"794","AL354714.3"
"795","AL354714.1"
"796","AL591806.1"
"797","AL590714.1"
"798","APOA2"
"799","AL592295.4"
"800","AL592295.5"
"801","AL592295.3"
"802","AL831711.1"
"803","AL590385.1"
"804","AL451067.1"
"805","AL359541.1"
"806","AL590408.1"
"807","AL450163.1"
"808","AL512785.1"
"809","AL596325.1"
"810","AL596325.2"
"811","AL499616.1"
"812","AL592435.1"
"813","AL592435.2"
"814","AL391001.1"
"815","AL357568.1"
"816","AL357568.2"
"817","AL390730.1"
"818","AL390730.2"
"819","AL356441.1"
"820","AL451074.5"
"821","AL358115.1"
"822","AL626787.1"
"823","AL596087.3"
"824","AL596087.2"
"825","AL583804.1"
"826","AL158837.1"
"827","DUSP27"
"828","AL451050.2"
"829","AL136984.1"
"830","AL359962.3"
"831","AL359962.1"
"832","AL359962.2"
"833","AL031733.2"
"834","Z99943.1"
"835","AL023755.1"
"836","AL022100.2"
"837","AL031275.1"
"838","AL135926.2"
"839","AL031726.2"
"840","AL031726.1"
"841","Z99758.1"
"842","Z99572.1"
"843","AL021940.1"
"844","AL356475.1"
"845","METTL11B"
"846","AL162399.1"
"847","AL023495.1"
"848","Z97200.1"
"849","BX284613.2"
"850","AL021026.1"
"851","EEF1AKNMT"
"852","DNM3-IT1"
"853","AL137157.1"
"854","AL031599.1"
"855","Z97198.1"
"856","AL022310.1"
"857","AL645568.1"
"858","AL139142.1"
"859","TEX50"
"860","RC3H1-IT1"
"861","LINC02776"
"862","RABGAP1L-IT1"
"863","Z99127.1"
"864","Z99127.4"
"865","AL008626.1"
"866","Z94057.1"
"867","TNR-IT1"
"868","LINC01657"
"869","AL590723.1"
"870","AL591043.2"
"871","AL031290.1"
"872","AL136114.1"
"873","AL513013.1"
"874","AL137796.1"
"875","AL449106.1"
"876","AL160286.3"
"877","AL160286.2"
"878","AL359853.2"
"879","AL359853.1"
"880","AL353708.3"
"881","AL353708.2"
"882","AL353708.1"
"883","AL390718.1"
"884","AL162431.1"
"885","KIAA1614-AS1"
"886","AL358393.1"
"887","AL161734.2"
"888","AL161734.1"
"889","AL355482.1"
"890","AL355482.2"
"891","AL390856.1"
"892","LINC01688"
"893","AL355999.1"
"894","AL354953.1"
"895","AL449223.1"
"896","AL137800.1"
"897","AL590422.1"
"898","AL158011.1"
"899","AL445228.1"
"900","AL445228.2"
"901","AL078645.1"
"902","AL713852.1"
"903","AL713852.2"
"904","AL078644.2"
"905","AL133383.1"
"906","AL133553.1"
"907","AL133553.2"
"908","OCLM"
"909","AL096803.2"
"910","AL096803.4"
"911","ERVMER61-1"
"912","AL136372.2"
"913","AL596211.1"
"914","AL929288.1"
"915","AL691515.1"
"916","AL691515.2"
"917","AL591504.1"
"918","AL591504.2"
"919","AL354771.1"
"920","LINC01351"
"921","AL391645.1"
"922","AL138927.1"
"923","AL713866.1"
"924","LINC01680"
"925","AL359081.1"
"926","AL390957.1"
"927","AL136987.1"
"928","AL136454.1"
