5667,AC002465.2,,AC002472.1
5636,AC002467.1,,AC002480.1
14453,AC002470.1,,AC002480.2
14454,AC002472.1,,AC002511.1
5294,AC002480.1,,AC002511.2
5295,AC002480.2,,AC002519.1
13420,AC002511.1,,AC002529.1
13419,AC002511.2,,AC002542.6
11367,AC002519.1,,AC002546.1
5670,AC002529.1,,AC002550.1
5665,AC002542.6,,AC002550.2
12487,AC002546.1,,AC002551.1
11250,AC002550.1,,AC002553.1
11249,AC002550.2,,AC002553.2
11300,AC002551.1,,AC002558.2
11964,AC002553.1,,AC002558.3
11963,AC002553.2,,AC002563.1
12324,AC002558.2,,AC003001.1
12323,AC002558.3,,AC003005.2
9230,AC002563.1,,AC003009.1
15001,AC003001.1,,AC003035.1
13689,AC003005.2,,AC003035.2
11198,AC003009.1,,AC003043.1
14831,AC003035.1,,AC003043.2
14830,AC003035.2,,AC003044.1
12293,AC003043.1,,AC003070.1
12292,AC003043.2,,AC003070.2
5304,AC003044.1,,AC003077.1
12308,AC003070.1,,AC003084.1
12307,AC003070.2,,AC003086.1
5646,AC003077.1,,AC003087.1
5669,AC003084.1,,AC003092.1
5576,AC003086.1,,AC003092.2
5302,AC003087.1,,AC003093.1
5584,AC003092.1,,AC003098.1
5585,AC003092.2,,AC003101.1
5306,AC003093.1,,AC003101.2
12283,AC003098.1,,AC003102.1
12115,AC003101.1,,AC003659.1
12114,AC003101.2,,AC003666.1
12291,AC003102.1,,AC003681.1
14858,AC003659.1,,AC003682.1
14824,AC003666.1,,AC003684.1
14626,AC003681.1,,AC003685.1
13690,AC003682.1,,AC003687.1
14823,AC003684.1,,AC003688.2
14821,AC003685.1,,AC003950.1
12138,AC003687.1,,AC003956.1
11888,AC003688.2,,AC003958.2
12404,AC003950.1,,AC003965.1
13252,AC003956.1,,AC003965.2
12264,AC003958.2,,AC003973.1
11101,AC003965.1,,AC003975.1
11100,AC003965.2,,AC003982.1
13322,AC003973.1,,AC003984.1
5691,AC003975.1,,AC003985.1
9234,AC003982.1,,AC003986.1
5556,AC003984.1,,AC003986.2
5309,AC003985.1,,AC003986.3
5283,AC003986.1,,AC003988.1
5281,AC003986.2,,AC003991.1
5282,AC003986.3,,AC003991.2
5551,AC003988.1,,AC003992.1
5564,AC003991.1,,AC004000.1
5563,AC003991.2,,AC004009.1
5653,AC003992.1,,AC004012.1
15043,AC004000.1,,AC004014.1
5329,AC004009.1,,AC004023.1
5590,AC004012.1,,AC004034.1
5640,AC004014.1,,AC004039.1
5561,AC004023.1,,AC004047.1
11102,AC004034.1,,AC004052.1
4150,AC004039.1,,AC004053.1
3309,AC004047.1,,AC004054.1
3310,AC004052.1,,AC004063.1
3312,AC004053.1,,AC004066.2
3269,AC004054.1,,AC004067.1
3311,AC004063.1,,AC004069.1
3315,AC004066.2,,AC004076.2
3327,AC004067.1,,AC004080.1
3314,AC004069.1,,AC004080.17
13688,AC004076.2,,AC004080.2
5326,AC004080.1,,AC004080.4
5325,AC004080.17,,AC004083.1
5323,AC004080.2,,AC004112.1
5322,AC004080.4,,AC004129.3
6413,AC004083.1,,AC004130.2
5647,AC004112.1,,AC004147.1
5308,AC004129.3,,AC004147.2
5292,AC004130.2,,AC004147.3
12149,AC004147.1,,AC004147.5
12152,AC004147.2,,AC004148.1
12151,AC004147.3,,AC004156.1
12150,AC004147.5,,AC004158.1
11878,AC004148.1,,AC004160.1
13083,AC004156.1,,AC004160.2
11622,AC004158.1,,AC004217.1
5255,AC004160.1,,AC004221.1
5256,AC004160.2,,AC004223.2
9174,AC004217.1,,AC004223.4
13089,AC004221.1,,AC004231.1
12161,AC004223.2,,AC004231.3
12160,AC004223.4,,AC004232.1
12230,AC004231.1,,AC004233.1
12229,AC004231.3,,AC004233.2
11114,AC004232.1,,AC004233.3
11105,AC004233.1,,AC004241.1
11106,AC004233.2,,AC004241.2
11103,AC004233.3,,AC004241.3
8819,AC004241.1,,AC004241.4
8820,AC004241.2,,AC004253.1
8818,AC004241.3,,AC004253.2
8821,AC004241.4,,AC004257.1
12119,AC004253.1,,AC004263.1
12118,AC004253.2,,AC004263.2
13253,AC004257.1,,AC004264.1
9233,AC004263.1,,AC004381.1
9232,AC004263.2,,AC004408.1
14629,AC004264.1,,AC004415.1
11256,AC004381.1,,AC004448.1
12215,AC004408.1,,AC004448.2
5253,AC004415.1,,AC004448.3
12008,AC004448.1,,AC004448.5
12007,AC004448.2,,AC004449.1
12006,AC004448.3,,AC004461.2
12005,AC004448.5,,AC004464.1
13082,AC004449.1,,AC004466.1
14432,AC004461.2,,AC004466.2
2127,AC004464.1,,AC004466.3
8822,AC004466.1,,AC004470.1
8824,AC004466.2,,AC004471.1
8823,AC004466.3,,AC004471.2
14844,AC004470.1,,AC004477.1
14433,AC004471.1,,AC004477.2
14434,AC004471.2,,AC004477.3
12336,AC004477.1,,AC004485.1
12337,AC004477.2,,AC004490.1
12338,AC004477.3,,AC004492.1
5303,AC004485.1,,AC004494.1
